versão=1.0 cod|desc|dt_ini|dt_fin - Tabela de Código do Serviço
1212|Execução de música|01012011|
1213|Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres|01012011|
1214|Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo|01012011|
1215|Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres|01012011|
1216|Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres|01012011|
1217|Recreação e animação, inclusive em festas e eventos de qualquer natureza|01012011|
1302|Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres|01012011|
1303|Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres|01012011|
1304|Reprografia, microfilmagem e digitalização|01012011|
1305|Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia|01012011|
1401|Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)|01012011|
1402|Assistência técnica|01012011|
1403|Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)|01012011|
1404|Recauchutagem ou regeneração de pneus|01012011|
1405|Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação e congêneres, de objetos quaisquer|01012011|
1406|Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido|01012011|
1407|Colocação de molduras e congêneres|01012011|
1408|Encadernação, gravação e douração de livros, revistas e congêneres|01012011|
1409|Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento|01012011|
1410|Tinturaria e lavanderia|01012011|
1411|Tapeçaria e reforma de estofamentos em geral|01012011|
1412|Funilaria e lanternagem|01012011|
1413|Carpintaria e serralheria|01012011|
1501|Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres|01012011|
1502|Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas|01012011|
1503|Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral|01012011|
1504|Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres|01012011|
1505|Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos CCF ou em quaisquer outros bancos cadastrais|01012011|
1506|"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia|01012011|
1507|Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo|01012011|
1508|"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins|01012011|
1509|Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing)|01012011|
1510|Serviços relacionados a cobranças, recebimentos ou pagamentos em geral; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral|01012011|
1511|Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados|01012011|
1512|Custódia em geral, inclusive de títulos e valores mobiliários|01012011|
1513|Serviços relacionados a operações de câmbio em geral|01012011|
1514|Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres|01012011|
1515|"Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento|01012011|
1516|"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral|01012011|
1517|Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão|01012011|
1518|Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário|01012011|
1601|Serviços de transporte de natureza municipal|01012011|
1701|"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares|01012011|
1702|Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres|01012011|
1703|Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa|01012011|
1704|Recrutamento, agenciamento, seleção e colocação de mão-de-obra|01012011|
1705|Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço|01012011|
1706|Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários|01012011|
1708|Franquia (franchising)|01012011|
1709|Perícias, laudos, exames técnicos e análises técnicas|01012011|
1710|Planejamento, organização e administração de feiras, exposições, congressos e congêneres|01012011|
1711|"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS)|01012011|
1712|Administração em geral, inclusive de bens e negócios de terceiros|01012011|
1713|Leilão e congêneres|01012011|
1714|Advocacia|01012011|
1715|Arbitragem de qualquer espécie, inclusive jurídica|01012011|
1716|Auditoria|01012011|
1717|Análise de Organização e Métodos|01012011|
1718|Atuária e cálculos técnicos de qualquer natureza|01012011|
1719|Contabilidade, inclusive serviços técnicos e auxiliares|01012011|
1720|Consultoria e assessoria econômica ou financeira|01012011|
1721|Estatística|01012011|
1722|Cobrança em geral|01012011|
1723|Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring)|01012011|
1724|Apresentação de palestras, conferências, seminários e congêneres|01012011|
1801|"Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres|01012011|
1901|Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres|01012011|
201|Serviços de pesquisas e desenvolvimento de qualquer natureza|01012011|
2001|Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, praticagem, capatazia, armazenagem, serviços acessórios, movimentação de mercadorias, apoio marítimo, movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres|01012011|
2002|Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres|01012011|
2003|Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres|01012011|
2101|Serviços de registros públicos, cartorários e notariais|01012011|
2201|Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços, atos de concessão ou de permissão ou em normas oficiais|01012011|
2301|Serviços de programação e comunicação visual, desenho industrial e congêneres|01012011|
2401|Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres|01012011|
2501|"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres|01012011|
2502|Cremação de corpos e partes de corpos cadavéricos|01012011|
2503|Planos ou convênio funerários|01012011|
2504|Manutenção e conservação de jazigos e cemitérios|01012011|
2601|"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres|01012011|
2701|Serviços de assistência social|01012011|
2801|Serviços de avaliação de bens e serviços de qualquer natureza|01012011|
2901|Serviços de biblioteconomia|01012011|
302|Cessão de direito de uso de marcas e de sinais de propaganda|01012011|
303|Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza|01012011|
304|Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza|01012011|
305|Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário|01012011|
3001|Serviços de biologia, biotecnologia e química|01012011|
3101|Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres|01012011|
3201|Serviços de desenhos técnicos|01012011|
3301|Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres|01012011|
3401|Serviços de investigações particulares, detetives e congêneres|01012011|
3501|Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas|01012011|
3601|Serviços de meteorologia|01012011|
3701|Serviços de artistas, atletas, modelos e manequins|01012011|
3801|Serviços de museologia|01012011|
3901|Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço)|01012011|
401|Medicina e biomedicina|01012011|
402|Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres|01012011|
403|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres|01012011|
404|Instrumentação cirúrgica|01012011|
405|Acupuntura|01012011|
406|Enfermagem, inclusive serviços auxiliares|01012011|
407|Serviços farmacêuticos|01012011|
408|Terapia ocupacional, fisioterapia e fonoaudiologia|01012011|
409|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental|01012011|
410|Nutrição|01012011|
411|Obstetrícia|01012011|
412|Odontologia|01012011|
413|Ortóptica|01012011|
414|Próteses sob encomenda|01012011|
415|Psicanálise|01012011|
416|Psicologia|01012011|
417|Casas de repouso e de recuperação, creches, asilos e congêneres|01012011|
418|Inseminação artificial, fertilização in vitro e congêneres|01012011|
419|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres|01012011|
420|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie|01012011|
421|Unidade de atendimento, assistência ou tratamento móvel e congêneres|01012011|
422|Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres|01012011|
423|Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário|01012011|
4001|Obras de arte sob encomenda|01012011|
501|Medicina veterinária e zootecnia|01012011|
502|Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária|01012011|
503|Laboratórios de análise na área veterinária|01012011|
504|Inseminação artificial, fertilização in vitro e congêneres|01012011|
505|Bancos de sangue e de órgãos e congêneres|01012011|
506|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie|01012011|
507|Unidade de atendimento, assistência ou tratamento móvel e congêneres|01012011|
508|Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres|01012011|
509|Planos de atendimento e assistência médico-veterinária|01012011|
601|Barbearia, cabeleireiros, manicuros, pedicuros e congêneres|01012011|
602|Esteticistas, tratamento de pele, depilação e congêneres|01012011|
603|Banhos, duchas, sauna, massagens e congêneres|01012011|
604|Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas|01012011|
605|Centros de emagrecimento, spa e congêneres|01012011|
701|Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres|01012011|
702|Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes|01012011|
703|"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia|01012011|
704|Demolição|01012011|
705|Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)|01012011|
706|Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço|01012011|
707|Recuperação, raspagem, polimento e lustração de pisos e congêneres|01012011|
708|Calafetação|01012011|
709|Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer|01012011|
710|Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres|01012011|
711|Decoração e jardinagem, inclusive corte e poda de árvores|01012011|
712|Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos|01012011|
713|Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres|01012011|
716|Florestamento, reflorestamento, semeadura, adubação e congêneres|01012011|
717|Escoramento, contenção de encostas e serviços congêneres|01012011|
718|Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres|01012011|
719|Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo|01012011|
720|Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres|01012011|
721|Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais|01012011|
722|Nucleação e bombardeamento de nuvens e congêneres|01012011|
801|Ensino regular pré-escolar, fundamental, médio e superior|01012011|
802|Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza|01012011|
901|Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço|01012011|
902|Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres|01012011|
903|Guias de turismo|01012011|
